simulation,period,total_sn,total_cost,layer_materials,layer_thicknesses,layer_sns,startover
13,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
14,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
15,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
16,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
17,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
18,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
19,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
20,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
21,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
22,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
23,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
24,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
25,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
26,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
27,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
28,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
29,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
30,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
31,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
32,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
33,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
34,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
35,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
36,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
37,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
38,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
39,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
40,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
41,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
42,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
43,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
44,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
45,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
46,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
47,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
48,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
49,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
50,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
51,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
52,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
53,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
54,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
55,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
56,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
57,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
58,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
59,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
60,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
61,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
62,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
63,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
64,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
65,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
66,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
67,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
68,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
69,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
70,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
71,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
72,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
73,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
74,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
75,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
76,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
77,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
78,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
79,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
80,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
81,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
82,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
83,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
84,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
85,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
86,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
87,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
88,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
89,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
90,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
91,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
92,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
93,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
94,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
95,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
96,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
97,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
98,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
99,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
100,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
101,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
102,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
